# BTC Strategie - Chronological Trades
# Generated: 2026-03-13 09:18:40
# Output File: d:\Benutzerdaten\OneDrive\Dokumente\GitHub\PythonProjects\Coincall\Output Ergebnisse\Matrix_Test_913944\Individual_Tests\004_ET0305_SL70_ChronologicalTrades.csv
# Date Range Filter: 2025-01-01 to 2025-08-14
# Total Trades: 133
# P&L Type: realized only (position_pnl = P&L per closed position)
# Straddle: TP/SL gilt fuer gesamten Kombinationswert (Put+Call), nicht pro Einzelleg. Straddle wird gemeinsam eroeffnet und geschlossen.
# Total PnL (realized): "$4,509.04"
# Final Capital (realized): "$14,509.04"
# Final Capital (incl. unrealized): "$14,509.04"
# Max Drawdown: -3.12%
# Total Transactions: 267
# Unique Positions: 134
# P&L Type: realized only (position_pnl = P&L per closed position)
#
timestamp,time,position_id,combo_id,leg_label,action,exit_reason,quantity,underlying_price,reference_price_used_helper,trigger_helper_price,reference_iv,trigger_helper_iv,entry_price,close_price,leg_number,Type,Expiration,Delta,Entry Delta,days_in_trade,position_pnl,leg_fee_usd,Net_Trade_Cost_USD,Net_Trade_Cost_USD_Currency,strike,entry_price_usd,exit_price_usd,leg1_option_type,leg2_option_type
2025-03-24,03:05:00,OPTION_2025-03-24_001,Kombo OPTION_2025-03-24_001,Leg 1 (P),OPEN,,-1,86168.0,,,,,0.0012,,1,P,2025-03-25,-0.08932,,,,0.0,103.40159999999999,USD,83000.0,0.0012,,,
2025-03-24,13:56:00,OPTION_2025-03-24_001,Kombo OPTION_2025-03-24_001,Leg 1,CLOSE,take_profit,1,87617.0,,,,,,0.0001,1,P,2025-03-25,-0.08932,-0.08932,0,82.37351999999998,12.266379999999998,-21.02808,USD,83000.0,,0.0001,,
2025-03-25,03:05:00,OPTION_2025-03-25_001,Kombo OPTION_2025-03-25_001,Leg 1 (P),OPEN,,-1,86857.0,,,,,0.0011,,1,P,2025-03-26,-0.09246,,,,0.0,95.54270000000001,USD,84000.0,0.0011,,,
2025-03-25,14:41:00,OPTION_2025-03-25_001,Kombo OPTION_2025-03-25_001,Leg 1,CLOSE,take_profit,1,88166.0,,,,,,0.0001,1,P,2025-03-26,-0.09246,-0.09246,0,74.38286000000001,12.34324,-21.15984,USD,84000.0,,0.0001,,
2025-03-26,03:05:00,OPTION_2025-03-26_001,Kombo OPTION_2025-03-26_001,Leg 1 (P),OPEN,,-1,87349.0,,,,,0.0014,,1,P,2025-03-27,-0.12256,,,,0.0,122.2886,USD,85000.0,0.0014,,,
2025-03-27,00:28:00,OPTION_2025-03-26_001,Kombo OPTION_2025-03-26_001,Leg 1,CLOSE,take_profit,1,87048.0,,,,,,0.0001,1,P,2025-03-27,-0.12256,-0.12256,0,101.39708,12.18672,-20.89152,USD,85000.0,,0.0001,,
2025-03-27,03:05:00,OPTION_2025-03-27_002,Kombo OPTION_2025-03-27_002,Leg 1 (P),OPEN,,-1,87542.0,,,,,0.0014,,1,P,2025-03-28,-0.11603,,,,0.0,122.5588,USD,85000.0,0.0014,,,
2025-03-27,13:21:00,OPTION_2025-03-27_002,Kombo OPTION_2025-03-27_002,Leg 1,CLOSE,stop_loss,1,86531.0,,,,,,0.0024,1,P,2025-03-28,-0.11603,-0.11603,0,-97.22993999999998,12.114339999999999,-219.78874,USD,85000.0,,0.0024,,
2025-03-28,03:05:00,OPTION_2025-03-28_001,Kombo OPTION_2025-03-28_001,Leg 1 (P),OPEN,,-1,86987.0,,,,,0.0015,,1,P,2025-03-29,-0.10946,,,,0.0,130.4805,USD,84000.0,0.0015,,,
2025-03-28,04:40:00,OPTION_2025-03-28_001,Kombo OPTION_2025-03-28_001,Leg 1,CLOSE,stop_loss,1,86305.0,,,,,,0.0026,1,P,2025-03-29,-0.10946,-0.10946,0,-105.9952,12.082699999999999,-236.4757,USD,84000.0,,0.0026,,
2025-04-12,03:05:00,OPTION_2025-04-12_001,Kombo OPTION_2025-04-12_001,Leg 1 (P),OPEN,,-1,82862.0,,,,,0.0008,,1,P,2025-04-13,-0.09475,,,,0.0,66.28960000000001,USD,81000.0,0.0008,,,
2025-04-13,03:05:00,OPTION_2025-04-13_002,Kombo OPTION_2025-04-13_002,Leg 1 (P),OPEN,,-1,85374.0,,,,,0.0016,,1,P,2025-04-14,-0.10388,,,,0.0,136.5984,USD,82000.0,0.0016,,,
2025-04-13,08:00:00,OPTION_2025-04-12_001,Kombo OPTION_2025-04-12_001,Leg 1,CLOSE,expiry,1,84514.0,,,,,,0.0,1,P,2025-04-13,-0.09475,-0.09475,1,66.28960000000001,0.0,-0.0,USD,81000.0,,0.0,,
2025-04-13,13:52:00,OPTION_2025-04-13_002,Kombo OPTION_2025-04-13_002,Leg 1,CLOSE,stop_loss,1,83656.0,,,,,,0.0028,1,P,2025-04-14,-0.10388,-0.10388,0,-109.35023999999999,11.711839999999999,-245.94863999999998,USD,82000.0,,0.0028,,
2025-04-14,03:05:00,OPTION_2025-04-14_001,Kombo OPTION_2025-04-14_001,Leg 1 (P),OPEN,,-1,84944.0,,,,,0.0022,,1,P,2025-04-15,-0.11227,,,,0.0,186.8768,USD,81000.0,0.0022,,,
2025-04-14,19:40:00,OPTION_2025-04-14_001,Kombo OPTION_2025-04-14_001,Leg 1,CLOSE,take_profit,1,85145.0,,,,,,0.0002,1,P,2025-04-15,-0.11227,-0.11227,0,157.9275,11.9203,-28.9493,USD,81000.0,,0.0002,,
2025-04-15,03:05:00,OPTION_2025-04-15_001,Kombo OPTION_2025-04-15_001,Leg 1 (P),OPEN,,-1,85094.0,,,,,0.0017,,1,P,2025-04-16,-0.11284,,,,0.0,144.6598,USD,82000.0,0.0017,,,
2025-04-16,02:29:00,OPTION_2025-04-15_001,Kombo OPTION_2025-04-15_001,Leg 1,CLOSE,take_profit,1,83847.0,,,,,,0.0001,1,P,2025-04-16,-0.11284,-0.11284,0,124.53651999999998,11.738579999999999,-20.123279999999998,USD,82000.0,,0.0001,,
2025-04-16,03:05:00,OPTION_2025-04-16_002,Kombo OPTION_2025-04-16_002,Leg 1 (P),OPEN,,-1,83834.0,,,,,0.0014,,1,P,2025-04-17,-0.08569,,,,0.0,117.3676,USD,80000.0,0.0014,,,
2025-04-16,15:11:00,OPTION_2025-04-16_002,Kombo OPTION_2025-04-16_002,Leg 1,CLOSE,take_profit,1,84761.0,,,,,,0.0001,1,P,2025-04-17,-0.08569,-0.08569,0,97.02496,11.866539999999999,-20.34264,USD,80000.0,,0.0001,,
2025-04-17,03:05:00,OPTION_2025-04-17_001,Kombo OPTION_2025-04-17_001,Leg 1 (P),OPEN,,-1,84236.0,,,,,0.0014,,1,P,2025-04-18,-0.0957,,,,0.0,117.9304,USD,81000.0,0.0014,,,
